,AAA,ACAd,ACAv,ACB,AD,AHN,AId,AIp,AIv,AMB,AMd,AMv,AN,AOB,AON,APN,ARH,AUDd,AUDp,AUDv,AV,BLA,BMA,BST,CA1,CA2,CA3,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,CP,CS,CUL,CUN,DCO,DG,DMH,DN,DP,DR,ECT,ENTl,ENTm,EPd,EPv,FL,FN,FRP,FS,GPe,GPi,GRN,GU,IA,ICc,ICd,ICe,ILA,IMD,IO,IP,IPN,IRN,LA,LAV,LD,LGd,LGv,LH,LHA,LP,LPO,LRN,LSc,LSr,LSv,MA,MARN,MD,MDRNd,MDRNv,MEA,MEPO,MGd,MGm,MGv,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MV,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NTS,ORBl,ORBm,ORBvl,OT,PA,PAA,PAG,PAR,PARN,PB,PCG,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIR,PL,PMd,PO,POL,POST,PP,PPN,PRE,PRM,PRNc,PRNr,PRP,PSV,PT,PTLp,PVH,PVT,PVp,PVpo,PYR,RCH,RE,RH,RM,RN,RR,RSPagl,RSPd,RSPv,RT,SBPV,SCm,SCs,SF,SI,SIM,SMT,SNc,SNr,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSs,STN,SUBd,SUBv,SUM,SUT,SUV,TEa,TR,TRN,TRS,TT,TU,V,VAL,VCO,VII,VISC,VISal,VISam,VISl,VISp,VISpl,VISpm,VM,VMH,VPL,VPM,VPMpc,VTA,XII
OT,0,0,0,0.003744822,0,0,0,0,5.86906E-05,0,0,0,5.7392E-05,0.000760914,0.011279868,0,0,0,0,0,0,0,0,0.000838177,0,0,0,0,3.60832E-05,0,0,0.001039931,0,0,0,0,0,0,0,0,0,0,0,0.000641642,0.002784907,0,0,0,0.001363979,0.000766885,8.21282E-06,0,0,0,0,0,0,0,0,1.46506E-05,0,0,0.004369413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054524867,0,0,0,0,0,0,0.004773854,0,0,0,0.000195012,0,7.70671E-05,0,0,0,0,0,0.003577518,0,0,0,0.030852356,0,0,0,0,0,0,0.001059366,0,0,0,0,0.012305269,0,0,0,0,0,0,0,0,0.000370621,0.00075776,0.000898111,0,0,0,0,0,0,0,0,0,0,0,0.000522209,0,7.0459E-05,0,0,0,0,0,0,0,0,0,0,1.34529E-05,0.000147219,0,0.000152468,0,0,0,0,0,0,0,0,7.36704E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003377562,0,0,6.34067E-05,0,0,0,0,0,0,0,0,0,0,0,1.73649E-05,0,0,0.00820807,0
PA,0,0,0,0,0,0,0,0,0,0,0,0,0.000958783,0,0,0,0.013706833,0,0,0,0,0,0,0,0,0,0,0,0.000888601,0,0,0,0,0,0,0,0,0.000262288,8.82503E-05,0.000670488,0,0,0,0,0.00027876,0,0,0,0,0,0.000373811,0,0,0,0,0,0,0,0,2.93789E-05,0,0.000556145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003275315,0,0,0,0,0,0,0.00010151,4.91727E-05,0,0,0,0,0,0,0,0,0,0,0.008499965,0,0.000306326,0,2.90206E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00032143,0,0,0,0.000774032,0.000152063,0,0,0,0,0,0,0,0,0,0,0,0,9.74834E-05,0,0,0,0,0,0,0,0,0.000229608,0.005266099,0,0.030412845,0,0,0,0,0,0,0,0,0,0.002889514,0,0.000237606,0,0,0,0,2.43206E-06,0.001006369,0,0,0,0,6.26617E-05,0,0,0,9.04732E-06,0,0,0,0,0.000439839,0,0,0,0,0,0,0,0,0,0,0,0,0.03419647,0,0,0,0,0,0,0,0,0,0,0,0,0.069709735,0,0,0,0,0
PAA,0.045285793,0,0,0.632975446,0,0.004985368,0,0,0,0,0,0,6.00059E-05,0,0.178877125,0,0,0,0,0,0,0,0.184574815,0.306088972,0,0,0.010259935,0.084273992,0.000271646,4.2379E-06,0,2.61806E-05,0.000405039,0.019191005,0.108494452,0,0.000614103,0.000333784,7.59281E-05,0,0.007540264,0,0,0.044926178,0.000992758,0.025779481,0.082254636,0,0.034008525,0.02438271,0.000134664,0,0,0.056018448,0,0,0,0,0.02396654,0,6.44838E-05,0.000301809,0.10131822,0,1.47777E-05,0,0,0,0.025495418,0,0,0,1.79464E-05,0,0.053195239,0,0.016039565,0,0.004004922,0.05960183,0,0.006055122,0,0.005693504,0,0,0.107237866,0.003546569,0,0,0,0.000112998,0,0.009663154,0,0,0.001411805,0.008570723,6.53978E-06,0,0.010646732,0,0.07992595,0.000205391,0.000239159,0,0,0,0,0,0,0,0,0.483711033,0.025068847,0.098733263,0.000382879,0,0,4.52619E-05,0.000318722,0.034299881,0.00015605,0.000309513,0.000157736,0,0,0,0.233552693,0,0,0,0,0,8.40933E-05,9.4206E-06,0,0.000150404,0,7.44983E-05,0,0,0.003834906,0,0,0,0,0,0,0,0.003162943,0.000699728,0,0,0,0,0,0,0,0,0,0,0.000162126,0.248247994,0,0.000480164,1.83622E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002409497,0,0,2.22011E-07,0,0.002141705,6.71564E-06,0,0.133501663,0,0,0,0,0,0,0,0,0,0,8.75166E-06,0,0,0.003288151,0,0,0,0.001325903,0
PAG,0.002608593,0,0,0.005086959,0,0.00285052,8.86787E-05,0,0,0.000390534,0,0,0.000231047,2.545E-05,0,0.009042567,0,0,1.53489E-05,9.41432E-05,0,0,0,0,0,0,0,0.00075977,0.000868999,0.001466154,0.000141975,0.000993103,0.009034207,0.000255692,0,0.010214328,0,0.000102718,0.005727169,0,0,0.006284064,0,0,0.011877953,0,0,0,0,0.000154625,3.09992E-05,0,4.63575E-05,0.000806963,0.002299835,0.000566756,0,0.000271347,0,0,0.002456603,0.008819442,0,0.011303389,0,0,0,0,0,0,0,0,0,0.0038095,0.019795632,0,0,0,0,0,0,0.001818124,0.004795701,0.004684945,0,0,0,0.000220196,0,0,0,0.000170746,0,0.001476905,0.00011267,0,0,0,0.004710302,0.066506518,0.002900897,0,0.005174539,0.001894686,0.001497905,0.000120671,2.3665E-05,0.000316417,0.007870484,0,0,0,0,0.005022707,0,0.000127516,0.315384861,6.10542E-05,0,0.001903523,0.009662536,0,0.004601422,0.000349789,5.07113E-05,0,0,0.030459683,0.001285141,0,0.00017495,0,0,0,0,0,0,1.23738E-05,0,0,2.48903E-07,0,0.000693667,0,0.002477077,0.019203133,6.23355E-06,0,0,0.000723559,0.016280831,0.003610208,0.010782655,0.003851156,0.005030019,0,0,0,0.00077245,0.000178287,0.13092831,0,0,0.017875657,9.73892E-05,0,0.002647572,0.003716149,0,0.004981531,0.001637301,0,0,0,0,0,0.000401071,0,0.000472518,0.000250518,0,0.000192118,0.000544479,0.001454907,0,0,0.002211248,0,0,0,6.94475E-05,0,0,0,0.000774376,0,0.000753595,0,0,0.000391395,0,0,0,0,0,0,0,0,0.000172659,0,0,0.014670882,0.000707559
PAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01756842,0.092533388,0,0,0,0,0,0,0,0,0,0,4.57362E-07,0,0.000138666,0,0,0,0,0,0,0.111551646,0.698411079,0,0,0.000223888,0,0,0,0,7.39056E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001676772,0,0.000100385,0,0,0,0,0,0,0,4.97339E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77832E-07,0,0,1.8926E-05,1.07127E-06,0,0,0,0,0,0,0,0,0,0.391584179,0,0,4.33367E-06,0,0,4.25173E-05,5.12423E-05,0,0,0,0,0,0,0,0,0,0,0,0.025889314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005854023,0,0,0,0,0.000386989,1.02236E-05,0,0,0,0.000157795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARN,0,0,0,0,0,0,0,0.000189738,0,0,0,0,0,0,0.000381661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17508E-05,0,0.003876096,0,0,0,0,0,0,0,0,0,0,0,0.001010713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222278814,0,0,0,0,0,0,0,0,0,0.000707359,0,0,0,0,0,0.003262171,0.004326984,0,0,0,0,0,0,0,0,0,0.000632393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2317E-05,0,3.54393E-05,0,0,0,0,0,0.122967735,0.015119269,0,0,0.017805642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001721987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004578509,0,0,0,0,0,0,0,0,0,0,0,0.025707426,0,0,0,0,0,0,0,0.074865107,0.007483394,0,0,0,0,0,0,0,3.61312E-05,0,0,0,0,0,0.004051748,0,0
PB,0.000921367,0.001181399,0.001410651,0,0,0,0.000323941,0.002285286,1.16492E-06,0,0,0,0,4.15418E-07,0.00033918,0,0.000415893,0.000182031,0,0,0,0.000242519,0.001809923,0.007038994,5.75038E-05,0,0,0.006841458,0.025860303,0,0.000509972,0,0.061489842,0.000860353,0.00063917,0,0,0,0,0,0,0,0,9.09539E-05,0.021722615,0.00091048,0.00099725,0.000388356,0.000763983,0.000101445,0,0,0,0.00057756,0,5.40106E-05,0,0.000598105,0.000162624,0,0,0,0.000115485,0.029893318,0,0,0,0,0,0,0,0,0.000959136,0,0,0.003209736,0.00282014,0,0.000899476,0,6.97281E-05,0,0,0.011381574,0,0,0.000993259,0.024263683,0.00213199,0,0,0,0,0.000838764,0.000287849,0.002063923,0.000266121,0.005559404,0,0,0,0,0.0034815,0,0,0.000175064,0,0.003048398,0,0.001482434,0,4.43237E-05,0.000355339,0,0,0.000109189,0,7.09761E-05,0,0.002383138,0,0.000262594,0.023218651,0.000448044,6.6807E-05,0.000526856,0,0,0.002409308,0.000217869,0,0.000494352,0,0.000653245,0,0,0.000426802,0,0,0,0,0,7.62372E-05,0.000175337,0.001688529,0.032090321,9.11709E-06,0.000752659,1.65288E-05,0.004403056,0.014077315,0.023283225,0,0,0,0.000120162,0.000917307,0,0,0,0,0,1.01611E-05,0.011279144,0,0.002515236,0,0,0,0.018380786,0,0,0,0,0,0,0.000999576,4.1656E-05,0,0,0.0001523,0.000207105,0.000826952,0.000456026,0,2.59955E-06,0.001074684,0,0.001660029,0.000804816,9.29152E-05,0,0.000156469,0.000338494,0.001590924,0,0,0,0,0.000795727,6.48469E-05,8.49461E-05,3.76533E-05,0.000423583,0.000120333,0.000409288,0.008922804,0.001202692,0,0,0.002929731,0.00956427,0
PCG,0.001506159,0.001802702,0.00138074,0,0.000108765,0.010768569,0,0,0,0.000158755,0,0,0.001005066,8.41612E-06,0,0,0.004737762,0.000307465,0.000271013,0,0,0,0,0.008448977,0,0.000200344,0.001570489,0,0.008080953,0,0,0.00338461,0.03186811,0.000920095,0,0.002588449,0.001938802,0.002626058,0.007418407,0,0.001719849,0.02706412,0,0,0.050657228,0,0.000916518,0,0.00179772,0,0,0,4.53945E-05,2.33599E-05,0,0,0.041161745,0,0,0,0,0,0.001855626,0.03526336,0,0,0.013104756,0.016803751,0,0,0,0,0,0.001261614,0.068836368,0,0.008564937,0.001044048,0,0,0.000208704,0,0.034633661,0.019889461,0,0.001362314,0.001581735,0.007579367,0,0,0,0.000347681,0,0.002666039,0,0.000453423,0.001039293,0.020112162,0.000939897,0.077821919,0.029523985,0,0.009426336,0,0.003401843,0.000980406,0.004069354,0,0,0.005133597,0,0.000837559,0.000575589,0.006126383,2.72194E-05,7.77469E-05,0.355057125,0.000173498,0,0.032564122,0.012589702,0,0.007666224,0,0.005846158,0,0.010757049,0.030543088,0.004464396,0.000777789,0,0,0.000352978,0,0,0.034807325,0.000340429,0,0.201059568,0.171204326,0,0,0.004136425,0,0.009000865,0.059232843,0.001461678,0.00439367,0.001771331,0.009982591,0.030574489,0.007806634,0.026548261,0,0.01068307,0,0,0,0,0.003278036,0,0,0.002593223,0.0078813,0,0,0.002184116,0.001930332,0.003287267,0.009295954,0.002294786,0.001113467,0,0,0,0,0.002069556,0,0,0,0.000898974,0.000247024,0.001527364,0.000380776,0,0,0,0,0,0,0,0.007964637,0.001241579,0,0.013848677,0,0,0,0,0.00022536,0,0,0,0,0,0,0,0.004359493,0,0,0,0.000406791,0.003023651
PERI,0.017826915,0.113702317,0.050508337,0.908566998,0.000229316,0.003783376,0.098054548,0.102334898,0.057845023,0,0.008120099,6.13833E-05,0,0.001709481,0.100359294,0.000355112,0.000157774,0.163413937,0.132636056,0.189335635,0,0.146107692,0.011245642,0.089925035,0.007000567,0.003026567,0,0.131652773,0.002196901,0.000219407,0.113830557,0,0.014504825,0.001555192,0,3.400991062,0.000535574,0.00114398,0.000918047,0,0.020394766,0.004270511,0,0.070502691,0.00131482,0.288937745,0.027212868,0,0.149892402,0.040814462,0,0,0.019956204,0.072039015,0.12489587,0.000459715,0.007963388,0.114063869,0.016603204,0.002977948,0.038535332,0.003184448,0.126282531,0,0.001086675,4.56689E-06,0,0.003232275,0.102199653,3.37556E-05,0,0,1.59621E-05,0.000606675,0.011083602,0.00026032,0,0,0.012442474,0.130239978,2.25228E-05,0.000782187,0.003611358,0,0,0,0.000931751,0.003376906,0,0.000252567,0,0.000287121,0.00135323,0.003250854,0.400874271,0.419286721,1.64538E-05,0.003023735,0.003269613,0.008414044,0.000140167,0,0,9.18711E-05,0,0.000732222,2.51583E-05,7.54336E-05,0.001235412,0,0.04351863,0.055382158,0.077745407,0.239980998,0,0.012225274,0.195540073,0,0.015756069,0,0.000172006,0.219424507,0.000124039,0.000163209,0.001608251,0,0.000919879,0.03045587,0.326308557,0.094875406,0.000750616,2.36442E-05,0.000468995,0.006356932,0.000200741,6.92283E-05,0,0.000162524,0.011421506,0,0,0.001878402,0,0.207049843,0.002733929,0.008574,0.000292667,0,0,0.004033362,0.047674979,0.008126172,0.001452764,0,0,0.006894587,0.015152212,0.027141837,0.000108645,0.000532924,0.069135339,0,0.002453554,0.173775139,0,0.001935482,0.000239029,0.000156062,0,0.005377205,0.007780513,0.002593964,0,0.000679322,0.00233957,0.004201929,0.535515914,0.087540492,0.071142488,0.038249238,0.223041321,0.177354656,0.361025579,0.000214334,0.088916949,0,0.001382864,0.000365513,1.52533E-05,0.289938748,0.011893627,0,0.000603584,0.189525691,0.002394126,0.000430386,0.002964703,0,0.001350916,0.126728048,0.132313448,0.025836589,0.034197686,0.188794126,0.026855284,0,0.00363921,0.000481754,0,0,0.004319803,0.000213934,0
PF,0.001240908,0,0,0,0,0,0,0,0,0,0,0,0.001254458,0,0,0,0.00014113,0,0,0,0,0,0,0,0,0,0,0.010423115,0,0,0,0,0.029314477,0.001391585,0,0,0,0,0,0,0,0,0,0,0.006950824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501558,0,0,0,0,0.022584933,0.003280459,0,0.003367306,0,0,0,0,0.00787054,0.006192974,0,0.063535911,0.001711617,0.004459242,0,0,0,0,0.000887003,0,0.014418528,0,0,0.004546472,0,0,0,5.71096E-05,0.000370502,0,0.006013282,0,0,0,0,0,0,0,0,0.024744652,0,0,0.000707562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003986212,0,0,0,0.004154682,0,0,0,0,0.001252167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012270131,0.014397481,0,0,0,0,0,0.001962625,0,0,0,0.000815138,0,0,0,0.002454418,0,0,0.008333449,0,0,0,0,0,0,0,0,9.39082E-07,0,0,0,0.002030065,0,0,0,0,0,0,0,0,0,0.003611294,0,0.001565016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006737613,0
PFL,0.001177868,0.00032831,0,0,9.86917E-06,0,0.00087587,2.34353E-05,2.93174E-05,0,0,0,0.004114202,0,7.6872E-05,0,0,7.21905E-05,0.000116407,0,0,0,0,0,4.08088E-05,0,0,0,0,0,0,2.77869E-06,0,0,0,0,0,0,0,0,0.001724753,0,0,3.65457E-06,0,3.66863E-05,0,8.92657E-05,0,0,4.25381E-05,0,2.55037E-05,0,0,0,0,0.00071924,0,0,0,0,0.000159038,0,0,0,0.000999224,0,0,0,0,0,0,0,0,0,0.002836899,0,0,0,0,0.00029877,0,0,0,0,0.000173351,8.51756E-07,1.70641E-05,0,0,0,8.14005E-06,0.000840354,0.000267119,0.000740199,0,0,0,0,0,0,0.002976254,0,0,0.000359956,0,0,0,0,0,5.24018E-05,0.000128079,0.000555535,0,1.26051E-05,0,5.0636E-05,0,0,0,4.82221E-05,0,0,0.073552004,0,0,0,0.000279443,0,0,0,0,0.000424114,0,0,0,0.000114137,0,0,0,0,0,9.51123E-05,0,0,0,0,0,0,0,0,0,0,0,2.95941E-05,0.000125189,8.98721E-05,0,0,0,0,0,0,0,0,0,0.00064133,0,0,0,0,0,0,0,0,0.001067437,2.81513E-05,6.92744E-06,0.000878941,5.86319E-05,6.65205E-05,0.000155291,0,0.000477861,8.95827E-05,0,0,0,8.75054E-06,0,0.013663455,0,0.00079908,0.000588155,0,0,0,0,0,5.02315E-05,0,0,0,0,0,0,0,0,0,0,0,0
PG,0.00614446,0,0,0,0,0,0,0,0,0,0.000786194,0,6.602468655,0,0,0,0,0,0,0,0.000120239,0.000782361,0,0,0,0,0,0.006467909,0.225518612,0,0,0,0,8.16281E-05,0,0.002248539,0,1.27679483,0,0,0,0,0.286221127,0,0,0,0,0,0,0.000817225,0.591224238,0.046308403,0,0.000874729,0.003823401,0.003503467,0,0,0.00050549,0.000419934,0.000816792,0.002600184,0,0,0,0.171922351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182681,0.004098403,0,0,0,0,0,0,0,0,0.000284961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01781077,0,0,0,0.009494797,0.001463579,0,0,0,0.005001861,5.75796E-05,0,0,0,0,0,0,0,0,0,1.714436999,0,0,0,0,0,0,0,0,0,0.00023559,0,0,1.262529684,0,0,0,0.114549664,0,0,0,0,0,0,0,0,0.000707146,0,0,0,0,0,0,0.003415649,8.02486E-05,0,0,0,0,0.048723211,3.098979285,0,0,0.015647758,0.003930573,0,0,0.000970609,0,0,0.00364581,0,0,0,0,0.000255329,0,0,0.003341311,0,0,0,0,0.001720808,0.000759588,0,0,0.034307473,0,0,0,0.004061409,0,0.140601395,0,7.58092E-05,0,0,0,0,0,0,0,0,0,0,0.000244103,0,0.00042478
PGRNd,0,0.002254786,0.004266451,0,0,0,0.002255346,0.000288585,0.00209813,0.009033828,0,0.000855364,0,2.12852E-05,0.006086095,0.338771786,0,0.000656345,0.000312092,0.002458956,0,0,0,0,0.005794948,0,0.000200402,0,0,0.00087595,0.000669404,0,0.003739115,0,0,0.061652695,0,0.045512563,0,0,0.003155472,0,0.008648161,0,0.001349622,0,0.00236471,0,0,0,0,0,0.000400287,0.000195329,0.010750492,0.001422674,0,0.0001783,0,0,0,0,0,0,0,0.026572517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003205786,0,0.034639945,0,0,0,0,0,0,0,0,0,0.010298189,0.041536772,0.020826538,0,0,0,1.566627151,0,0,0,0,0,0,0,0.014256369,0.0903479,0.210603718,0.003786534,0,0.000376395,0.008340246,0,0,0.168969874,0.000572051,0,0.001482846,0.207216506,0,0.191127144,0.013391958,0,0,0,0,0.004947704,0,0,0.024849934,0,0.004102851,0,0.187196815,0,0,0,0.178225933,0,0,0,0.000324861,0,0,0,0,0.00316687,0,0,0.001547257,0,0,0,0.000252223,0,0.004519836,0.013179184,0,0.909458611,0.040274837,0,0,0,0.001046152,0,0,0,0,0,0.006751601,0,0,0,0,0.027087047,0.003192914,0.023442545,0.016631816,0.001616088,0.015639065,0.020058938,0,0.002845711,0.002335101,0,0,0,0,0,0,0,0.002176483,0,0,0.027922663,0,0,0,0,0.00019076,0.000375816,0,0,0,0.004973636,0,0,0,0.009001794,0,0
PGRNl,0.003979225,0,0,0.008128489,0.000218022,0.028182013,0,0,0,0,0.000416669,9.15035E-05,0,0,0,0.056948731,0.005246335,0,0,0,0.000221198,0.000342116,0.0016277,0.013761406,0.004743849,0.001235417,0.005342243,0.008523443,0,0.006164145,0.000120031,0.000538642,0.012379928,0.002074789,0.000890148,0.008622671,0.014632022,0,0.025086688,0.02188389,0.003469528,0.029352683,0,0.000439829,0.023151661,0.001676433,0.003100223,0.005267128,0.000693087,0.000512364,0.003948561,0,0,0.000481951,0.003586001,0.001596908,0.207279645,0,0.00029024,0.001190819,0.003463011,0.048264062,0.000473215,0.004700853,0,0,0.004735639,0.027258239,0.000167696,0.01703619,0.002886982,0.00021662,0.003006282,0.005160447,0.125487632,0.020269591,0.021564125,0,0.001157122,0.01228155,0.000347055,0.002706214,0.136176077,0.02449287,0.04928071,0,0.005981823,0.009431946,0.004249724,0.014183601,0.011113178,8.27773E-05,0.000813432,0,0.000640266,0,0.001994714,0.018071521,0.007664913,0.744985075,0.009431604,0,0.034772575,0.004332277,0.062813696,0.000737838,0,0.004165562,0.036939082,0.051186324,0.000128491,0,0.000155647,0.000231572,5.68657E-05,0.000267706,0.7933512,0.001091401,0.083170411,0.054630742,0.046515615,0.000441426,0.033511393,0,0.01043877,0.017794445,0,0.068399202,0.001383498,3.93862E-05,0.00071487,0.026624376,0.019514099,0.002272344,0.002378934,0.089466671,0.002069196,0,0.459585233,0.463449907,0,0.004995843,0,0.00020475,0.013735277,0.015313523,0.00063012,0.002972811,0,0.012401852,0.035967537,0.007536,0.055880279,0.033818348,0.04028301,0,0,0.002059921,0.01051852,0.004092448,0.959841605,0.030734074,0.000551771,0.029315942,0,0,0.004792725,0.005093041,0.093804656,0.005337216,0.009940747,0.022488629,0.026141741,0.018566824,0.051732541,0.022110382,0,0,0.000407146,0,0.00010296,0,8.77272E-05,0.002594431,0.003418126,0.001856374,0.004318758,0,0.006315996,0.000779058,4.29706E-05,0.045160669,0.001849099,0,0.014461975,0,0.004084862,0.026024433,0,0,0,0,0,0,0,0.0001503,0.018514735,0.00507482,0,0,0.000540926,0.020786375,0
PH,0,0,0,0,0,0.053381211,0,0,0,0,0.028819334,0.003885831,0.000165005,0,0,0.001868924,0.023823545,0,0,0,0.020801054,0,0,0.055441408,0,0.009383837,0.045012851,0,0.000208393,0.001846954,0,0,0.00185231,0,0.001017313,0,0,8.77066E-05,0,6.79047E-05,0.079924122,0.046127271,0,0,0.006904167,0,0,0,0,0,0.000167282,0,0,0,0,0,0,0,0,0,0,0,0,0.004057917,0,0,0.001605282,0,0,0,0.002825393,9.84244E-05,0,0,0.244945052,0.003452499,0.095697145,0,0.015228051,0.16687656,0.009616821,0,0,0,0,0,0,0.022912483,0,0,0,0,0.00164868,0,0,0,0.016053917,0.10400453,0,0,0.09402905,0.001906492,0.090254561,0.001735388,0,0,0,0.00144831,0.005136995,0,0,0,0,0,0.004322514,0,0.090004003,0,0,0,0.015435173,0,0.001932432,3.07661E-05,0.004881531,0,0,0.019341672,0,0.011679693,0,0.003656828,0,0,0,0,0,8.31084E-05,0,0,0,0,0.001893393,0,0.024811127,0.01974857,0.009490499,0.008399214,0,0.008480223,0.131030111,0.008791989,0.001937792,0.00093938,0,0,0,0,0,0.008624544,0,0,0.008150861,0,0,0,0.001208678,0,0,0.003784911,0.004167258,0,0,0,0,0,0,0,0,3.72128E-05,0,0,0.00036611,0,0.006672503,0,0,0,0,0,0,0.009685299,0.004189087,0,0.03844115,0,0,8.53422E-06,0,0,0,0,0,0,0,0,0.007842696,0.019872167,0,0,0,0.048802317,0
PIR,0,0,0,0,1.01231E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58227E-05,0,0,0,0,0,0,0,1.37273E-05,0,0,0,0,0.000336473,0,0,0,0,0,2.06829E-05,0,0,0,0.000972072,0,0,0.003934938,0,0,0.001824517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0285E-05,0,0.000201939,0,0,0,4.90526E-06,0,0,0,0,0,2.32421E-05,0,0,0.008052126,0,0,0,0,0,0,0,0.000851563,0,0,0,0,0,0,0,0,0,0.000202833,0,0,0.000623447,0,0.009569248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26873E-05,0,0,0,0,0.03529014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000803457,0,0,0.00672561,0,0,0,2.12511E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,0.001364384,0,0,0.030440456,0,0,0.083930862,0.047367274,0.059618577,0.000203373,0,0,0,0,0.059736219,0,0,0,0,0.002639883,0,0,0,0,0,0,0.00043157,2.93872E-05,0.000815072,0,0.223746076,0.003311885,0.05402676,0.00112556,0.000203134,0.519781695,0.002702822,0.000839886,0,0.0002148,0.00664695,0,5.74437E-07,0,0.020954503,0.003995963,0.056768972,0.001335998,0.08917375,0,0,1.17708E-05,0,0,0,2.60734E-05,0,0.055950475,0,0,0.00027281,0,0.090017977,0.102831332,0.000407007,1.3826E-05,0.001199482,0,0,2.84721E-05,0,5.60836E-06,0,0.00223194,0,0,0,0.001898356,0.001094142,0,0,0.000718834,0,0.084264034,0,0,0.001547943,0,0.000261029,5.43747E-05,0.001021581,0,0,0,0,0,0,0,0,0,0,0.000493207,0.005660485,0,0,0.001342086,0.000234453,0,0,0.008924213,0.021345244,0,0,0,4.11028E-06,0.000198717,0.114256856,0.000639295,0,0,0,0.014674123,0.015183141,0,0,5.81229E-05,0.001422722,0,0.010380696,0.220261642,0,0,6.38385E-06,0.000450744,0.00029271,0,0.000798853,0,0,0.001084745,0.00043419,0,0.03235339,0,0,0.080900211,0,0,0,0,0.003634283,0.001655112,0.002455976,0.000447689,0.001981095,0,0,0,0,0,0,0,0,0,8.63458E-05,0,0.001868218,0.00218236,0,0.027865596,0,0.000249246,0.000558573,0.000936286,0,0,0,0,0.003411242,0.002718609,0,0,0,1.00248E-05,0,0.000282419,0.000462542,0,0,0.012977986,0,0,0,0.04848007,0.000120335,0,0,0.00045719,0,0.006867649,0,0,0,0,0,0,0,0,0,0,0,0.001980608,0.000897724
